Name,NACA 15111 Airfoil cl=0.20 T=11.0% P=25.0%
Chord(mm),180
Radius(mm),0
Thickness(%),100
Origin(%),100
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
0.000000,0.000000
-0.277740,0.035280
-1.108800,0.140760
-2.487960,0.315540
-4.406220,0.558900
-6.851160,0.868680
-9.806760,1.242900
-13.254120,1.679040
-17.171640,2.174220
-21.534120,2.724660
-26.314560,3.326580
-31.483440,3.974940
-37.008540,4.664880
-42.856200,5.389560
-48.991140,6.142140
-55.375920,6.914160
-61.972200,7.696260
-68.740380,8.478000
-75.639780,9.247500
-82.629000,9.992340
-89.666280,10.699020
-96.708780,11.354040
-103.717440,11.943360
-110.669580,12.444480
-117.525780,12.827700
-124.241940,13.066020
-130.772520,13.137660
-137.070720,13.027500
-143.089920,12.727620
-148.783860,12.237840
-154.107360,11.565900
-159.018660,10.727280
-163.478880,9.743040
-167.454360,8.640000
-170.915940,7.447680
-173.840760,6.197220
-176.211180,4.918320
-178.016040,3.639060
-179.249040,2.382300
-179.909100,1.165680
-180.000000,0.000000
-179.536140,-1.072800
-178.534980,-2.016180
-177.010560,-2.835180
-174.978900,-3.537000
-172.457640,-4.131900
-169.465320,-4.631400
-166.021020,-5.047920
-162.144180,-5.394240
-157.854420,-5.683140
-153.171900,-5.926320
-148.116780,-6.133680
-142.711380,-6.313500
-136.978920,-6.471180
-130.945860,-6.609060
-124.641180,-6.726060
-118.097280,-6.817680
-111.350700,-6.875640
-104.440680,-6.888600
-97.413840,-6.842880
-90.333720,-6.732540
-83.248380,-6.560820
-76.202100,-6.332220
-69.239520,-6.051420
-62.404740,-5.723100
-55.741140,-5.352480
-49.290660,-4.945320
-43.093980,-4.507740
-37.190160,-4.046760
-31.615920,-3.570660
-26.406180,-3.087540
-21.592800,-2.607120
-17.205300,-2.139120
-13.270500,-1.693980
-9.812160,-1.281960
-6.850620,-0.912960
-4.403520,-0.596700
-2.485440,-0.341100
-1.107360,-0.153360
-0.277200,-0.038700
0.000000,0.000000
,
Camber line,
X(mm),Y(mm)
-180.000000,0.000000
-179.909100,0.582840
-179.249040,0.519485
-178.016040,0.672039
-176.211180,0.903500
-173.840760,1.195836
-170.915940,1.529214
-167.454360,1.882707
-163.478880,2.234015
-159.018660,2.561274
-154.107360,2.844081
-148.783860,3.065762
-143.089920,3.213356
-137.070720,3.279423
-130.772520,3.262692
-124.241940,3.167185
-117.525780,3.002555
-110.669580,2.783781
-103.717440,2.529733
-96.708780,2.261074
-89.666280,1.991328
-82.629000,1.725807
-75.639780,1.468979
-68.740380,1.225279
-61.972200,0.998609
-55.375920,0.792367
-48.991140,0.608985
-42.856200,0.450193
-37.008540,0.316816
-31.483440,0.208283
-26.314560,0.124092
-21.534120,0.061900
-17.171640,0.019454
-13.254120,-0.006494
-9.806760,-0.019194
-6.851160,-0.022174
-4.406220,-0.019074
-2.487960,-0.012948
-1.108800,-0.006398
-0.277740,-0.001747
0.000000,0.000000
,
Chord line,
X(mm),Y(mm)
-180.000000,0.000000
0.000000,0.000000
